Date,Left clicks,Right clicks,Middle clicks,Backward clicks,Forward clicks,Down scrolls,Up scrolls
2025-08-12 22:56:07,0,0,0,0,0,0,0
2025-08-12 23:12:15,0,0,0,0,0,0,0
2025-08-13 17:15:47,116982,372741,31681,804,77,47768,18027
2025-08-13 17:16:14,116982,372741,31681,804,77,47768,18027
2025-08-13 17:16:52,116983,372741,31681,804,77,47768,18027
2025-08-13 17:17:49,116983,372741,31681,804,77,47768,18027
2025-09-27 14:43:23,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:24,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:25,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:26,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:27,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:29,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:30,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:31,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:32,254709,848815,69071,1713,155,113780,34874
2025-09-27 14:43:33,254709,848815,69071,1713,155,113780,34874
